experiment,case,description,real_mean_abs_diff,real_median_abs_diff,real_p95_abs_diff,real_p99_abs_diff,real_max_abs_diff,fourier_mean_abs_logpower_diff,fourier_median_abs_logpower_diff,fourier_p95_abs_logpower_diff,fourier_p99_abs_logpower_diff,fourier_max_abs_logpower_diff
subexp01,30_vs_50,refine30 vs refine50 baseline,0.0696551725268364,0.05795278400182724,0.17371702194213867,0.233900785446167,2.4718379974365234,0.8169879813659424,0.5670993932817758,2.464371880484943,4.017153696673875,14.423241467422796
subexp01,70_vs_50,refine70 vs refine50 baseline,0.09151928871870041,0.07526947557926178,0.22986632585525513,0.31777951151132555,7.810797691345215,1.2298721370435743,0.9305384096130194,3.3982110080225794,5.00971102260895,15.213666173325187
subexp02,train40_vs_train50,train40/refine50 vs train50/refine50 baseline,0.06594835221767426,0.05118914693593979,0.17595219612121582,0.267337144017219,6.840390682220459,1.028099881271979,0.7296811122501721,3.0227490514807522,4.624954637606869,15.56805084818135
subexp02,train60_vs_train50,train60/refine50 vs train50/refine50 baseline,0.08278822898864746,0.06592784076929092,0.21372534409165356,0.3138815763592717,10.875136375427246,1.1313613449030773,0.8384071770065615,3.2008733754249317,4.810244208182032,15.258960123560563
