experiment,trained_mw_angle,inferred_mw_angle,condition,frequency_normalized,fsc
subexp02_training_angle,40,50,train_40_infer_50,0.004807692307692308,1.0
subexp02_training_angle,40,50,train_40_infer_50,0.014423076923076924,0.9998276494295595
subexp02_training_angle,40,50,train_40_infer_50,0.02403846153846154,0.9994879650691548
subexp02_training_angle,40,50,train_40_infer_50,0.03365384615384615,0.9967242017598518
subexp02_training_angle,40,50,train_40_infer_50,0.04326923076923077,0.9950033492573056
subexp02_training_angle,40,50,train_40_infer_50,0.052884615384615384,0.9880645155339648
subexp02_training_angle,40,50,train_40_infer_50,0.0625,0.9852536864486062
subexp02_training_angle,40,50,train_40_infer_50,0.07211538461538461,0.9715231605180948
subexp02_training_angle,40,50,train_40_infer_50,0.08173076923076923,0.9689071083285398
subexp02_training_angle,40,50,train_40_infer_50,0.09134615384615384,0.962411706077012
subexp02_training_angle,40,50,train_40_infer_50,0.10096153846153846,0.9535213981251922
subexp02_training_angle,40,50,train_40_infer_50,0.11057692307692307,0.9513411943356684
subexp02_training_angle,40,50,train_40_infer_50,0.1201923076923077,0.9447038249535811
subexp02_training_angle,40,50,train_40_infer_50,0.12980769230769232,0.9407659278987534
subexp02_training_angle,40,50,train_40_infer_50,0.13942307692307693,0.9397991736655901
subexp02_training_angle,40,50,train_40_infer_50,0.14903846153846154,0.9351923622102666
subexp02_training_angle,40,50,train_40_infer_50,0.15865384615384615,0.9256914270425365
subexp02_training_angle,40,50,train_40_infer_50,0.16826923076923078,0.9232339668838655
subexp02_training_angle,40,50,train_40_infer_50,0.1778846153846154,0.9273022522079353
subexp02_training_angle,40,50,train_40_infer_50,0.1875,0.9343275960322197
subexp02_training_angle,40,50,train_40_infer_50,0.1971153846153846,0.9410937581278863
subexp02_training_angle,40,50,train_40_infer_50,0.20673076923076922,0.9256961900766836
subexp02_training_angle,40,50,train_40_infer_50,0.21634615384615385,0.9338101678614732
subexp02_training_angle,40,50,train_40_infer_50,0.22596153846153846,0.9168318120753001
subexp02_training_angle,40,50,train_40_infer_50,0.23557692307692307,0.9249390052284263
subexp02_training_angle,40,50,train_40_infer_50,0.24519230769230768,0.9289321040204057
subexp02_training_angle,40,50,train_40_infer_50,0.2548076923076923,0.9292157289982577
subexp02_training_angle,40,50,train_40_infer_50,0.2644230769230769,0.9319458120532751
subexp02_training_angle,40,50,train_40_infer_50,0.27403846153846156,0.9178689730967912
subexp02_training_angle,40,50,train_40_infer_50,0.28365384615384615,0.927604277686706
subexp02_training_angle,40,50,train_40_infer_50,0.2932692307692308,0.9163614211274304
subexp02_training_angle,40,50,train_40_infer_50,0.30288461538461536,0.9249730958429858
subexp02_training_angle,40,50,train_40_infer_50,0.3125,0.9158502544914647
subexp02_training_angle,40,50,train_40_infer_50,0.32211538461538464,0.914778732057961
subexp02_training_angle,40,50,train_40_infer_50,0.3317307692307692,0.9224661500028734
subexp02_training_angle,40,50,train_40_infer_50,0.34134615384615385,0.9139147048835795
subexp02_training_angle,40,50,train_40_infer_50,0.35096153846153844,0.9270809291421956
