val_loss,epoch,step,normalization/loc,normalization/scale,fitting_loss
3.7412807941436768,0,0,,,
,0,71,-0.174474835395813,1.3181087970733643,2.939483642578125
,1,143,,,2.8230292797088623
,2,215,,,2.841698169708252
,3,287,,,2.787161350250244
,4,359,,,2.8074002265930176
,5,431,,,2.801579236984253
,6,503,,,2.852797508239746
,7,575,,,2.7833633422851562
,8,647,,,2.7852942943573
2.7835569381713867,9,719,,,
,9,719,-0.17523692548274994,1.3362247943878174,2.7802388668060303
,10,791,,,2.8191723823547363
,11,863,,,2.761425495147705
,12,935,,,2.7894883155822754
,13,1007,,,2.798769474029541
,14,1079,,,2.805626153945923
,15,1151,,,2.746800661087036
,16,1223,,,2.816340208053589
,17,1295,,,2.8099756240844727
,18,1367,,,2.8153369426727295
2.7708230018615723,19,1439,,,
,19,1439,-0.1825229674577713,1.3505969047546387,2.821850061416626
,20,1511,,,2.7551543712615967
,21,1583,,,2.7949254512786865
,22,1655,,,2.7743024826049805
,23,1727,,,2.7345991134643555
,24,1799,,,2.7913496494293213
,25,1871,,,2.7511165142059326
,26,1943,,,2.766514301300049
,27,2015,,,2.815444231033325
,28,2087,,,2.7879085540771484
2.766669750213623,29,2159,,,
,29,2159,-0.1805538535118103,1.3397008180618286,2.7287914752960205
,30,2231,,,2.7610151767730713
,31,2303,,,2.7473137378692627
,32,2375,,,2.7747552394866943
,33,2447,,,2.7701005935668945
,34,2519,,,2.741406202316284
,35,2591,,,2.7279748916625977
,36,2663,,,2.810971975326538
,37,2735,,,2.792210578918457
,38,2807,,,2.764707088470459
2.7557804584503174,39,2879,,,
,39,2879,-0.18354861438274384,1.3277909755706787,2.770829916000366
,40,2951,,,2.738771438598633
,41,3023,,,2.7610883712768555
,42,3095,,,2.7732722759246826
,43,3167,,,2.772960901260376
,44,3239,,,2.7628707885742188
,45,3311,,,2.705007553100586
,46,3383,,,2.729445695877075
,47,3455,,,2.762007713317871
,48,3527,,,2.7359890937805176
2.7515830993652344,49,3599,,,
,49,3599,-0.18617352843284607,1.3306553363800049,2.777280569076538
