val_loss,epoch,step,normalization/loc,normalization/scale,fitting_loss
3.702622652053833,0,0,,,
,0,28,-0.18160980939865112,1.3691011667251587,2.9285078048706055
,1,57,,,2.7393651008605957
,2,86,,,2.743025064468384
,3,115,,,2.6991820335388184
,4,144,,,2.6966733932495117
,5,173,,,2.712677001953125
,6,202,,,2.723240852355957
,7,231,,,2.6899254322052
,8,260,,,2.6885881423950195
2.674344062805176,9,289,,,
,9,289,-0.18024760484695435,1.3761677742004395,2.6602442264556885
,10,318,,,2.689236640930176
,11,347,,,2.6824655532836914
,12,376,,,2.675450563430786
,13,405,,,2.6848487854003906
,14,434,,,2.6997902393341064
,15,463,,,2.6293070316314697
,16,492,,,2.709097385406494
,17,521,,,2.6986606121063232
,18,550,,,2.6942148208618164
2.658975839614868,19,579,,,
,19,579,-0.1778835654258728,1.393075942993164,2.692373275756836
,20,608,,,2.654952049255371
,21,637,,,2.665142059326172
,22,666,,,2.6656436920166016
,23,695,,,2.664879083633423
,24,724,,,2.6716415882110596
,25,753,,,2.637810707092285
,26,782,,,2.667019844055176
,27,811,,,2.713153839111328
,28,840,,,2.6620824337005615
2.6512649059295654,29,869,,,
,29,869,-0.17683662474155426,1.3847968578338623,2.63053035736084
,30,898,,,2.6716268062591553
,31,927,,,2.657475471496582
,32,956,,,2.6637659072875977
,33,985,,,2.6561944484710693
,34,1014,,,2.6150500774383545
,35,1043,,,2.6354329586029053
,36,1072,,,2.698485851287842
,37,1101,,,2.6744375228881836
,38,1130,,,2.6767330169677734
2.650120735168457,39,1159,,,
,39,1159,-0.18042653799057007,1.3792778253555298,2.651309013366699
,40,1188,,,2.638688564300537
,41,1217,,,2.6622135639190674
,42,1246,,,2.6558010578155518
,43,1275,,,2.648758888244629
,44,1304,,,2.665432929992676
,45,1333,,,2.6038243770599365
,46,1362,,,2.624868631362915
,47,1391,,,2.648517608642578
,48,1420,,,2.6324052810668945
2.6454451084136963,49,1449,,,
,49,1449,-0.18047703802585602,1.3757033348083496,2.6833102703094482
,50,1478,,,2.6746342182159424
,51,1507,,,2.6348230838775635
,52,1536,,,2.6418910026550293
,53,1565,,,2.6446313858032227
,54,1594,,,2.6433217525482178
,55,1623,,,2.6434524059295654
,56,1652,,,2.6522293090820312
,57,1681,,,2.673321485519409
,58,1710,,,2.69632625579834
2.643228054046631,59,1739,,,
,59,1739,-0.1825951188802719,1.3791931867599487,2.652789354324341
,60,1768,,,2.6289000511169434
,61,1797,,,2.6309378147125244
,62,1826,,,2.6313915252685547
,63,1855,,,2.663409471511841
,64,1884,,,2.625513792037964
,65,1913,,,2.624720573425293
,66,1942,,,2.672203779220581
,67,1971,,,2.6589527130126953
,68,2000,,,2.658895492553711
2.6396963596343994,69,2029,,,
,69,2029,-0.18580783903598785,1.3689836263656616,2.656059503555298
,70,2058,,,2.618123769760132
,71,2087,,,2.6214704513549805
,72,2116,,,2.640838623046875
,73,2145,,,2.6348769664764404
,74,2174,,,2.6413424015045166
,75,2203,,,2.662745237350464
,76,2232,,,2.6866259574890137
,77,2261,,,2.6375393867492676
,78,2290,,,2.646721601486206
2.635972738265991,79,2319,,,
,79,2319,-0.184144526720047,1.3812596797943115,2.639737606048584
,80,2348,,,2.635345220565796
,81,2377,,,2.652839183807373
,82,2406,,,2.6117160320281982
,83,2435,,,2.663985252380371
,84,2464,,,2.6428613662719727
,85,2493,,,2.6481223106384277
,86,2522,,,2.6495089530944824
,87,2551,,,2.6559431552886963
,88,2580,,,2.666328191757202
2.635716199874878,89,2609,,,
,89,2609,-0.17926977574825287,1.3640992641448975,2.666261911392212
,90,2638,,,2.6558008193969727
,91,2667,,,2.6733901500701904
,92,2696,,,2.6351003646850586
,93,2725,,,2.6449010372161865
,94,2754,,,2.6741127967834473
,95,2783,,,2.659897565841675
,96,2812,,,2.6148369312286377
,97,2841,,,2.6503210067749023
,98,2870,,,2.6441972255706787
2.6329870223999023,99,2899,,,
,99,2899,-0.17816096544265747,1.3815397024154663,2.6232824325561523
,100,2928,,,2.6429214477539062
,101,2957,,,2.616238594055176
,102,2986,,,2.6635043621063232
,103,3015,,,2.6345763206481934
,104,3044,,,2.6455180644989014
,105,3073,,,2.6439056396484375
,106,3102,,,2.681734085083008
,107,3131,,,2.628479242324829
,108,3160,,,2.635793447494507
2.630997657775879,109,3189,,,
,109,3189,-0.178579181432724,1.3717684745788574,2.608488082885742
,110,3218,,,2.6521012783050537
,111,3247,,,2.659360885620117
,112,3276,,,2.6685705184936523
,113,3305,,,2.6467747688293457
,114,3334,,,2.6677403450012207
,115,3363,,,2.61757493019104
,116,3392,,,2.655850410461426
,117,3421,,,2.6275601387023926
,118,3450,,,2.6614999771118164
2.629552125930786,119,3479,,,
,119,3479,-0.17892825603485107,1.3794912099838257,2.644648313522339
,120,3508,,,2.6643359661102295
,121,3537,,,2.6558034420013428
,122,3566,,,2.6262829303741455
,123,3595,,,2.581359624862671
,124,3624,,,2.620929479598999
,125,3653,,,2.6525042057037354
,126,3682,,,2.6559555530548096
,127,3711,,,2.6201605796813965
,128,3740,,,2.633190155029297
2.6285338401794434,129,3769,,,
,129,3769,-0.17724061012268066,1.3754990100860596,2.642606496810913
,130,3798,,,2.6354730129241943
,131,3827,,,2.6628735065460205
,132,3856,,,2.6555674076080322
,133,3885,,,2.6260390281677246
,134,3914,,,2.6321959495544434
,135,3943,,,2.673229217529297
,136,3972,,,2.625476121902466
,137,4001,,,2.6160478591918945
,138,4030,,,2.6434881687164307
2.628039598464966,139,4059,,,
,139,4059,-0.1748308390378952,1.3667137622833252,2.653017997741699
,140,4088,,,2.6176416873931885
,141,4117,,,2.633948564529419
,142,4146,,,2.612123489379883
,143,4175,,,2.618910074234009
,144,4204,,,2.639939785003662
,145,4233,,,2.6402618885040283
,146,4262,,,2.6079487800598145
,147,4291,,,2.660907506942749
,148,4320,,,2.6601479053497314
2.6279616355895996,149,4349,,,
,149,4349,-0.1782858967781067,1.3729400634765625,2.639679193496704
,150,4378,,,2.6501264572143555
,151,4407,,,2.596766710281372
,152,4436,,,2.6282777786254883
,153,4465,,,2.653203248977661
,154,4494,,,2.6448018550872803
,155,4523,,,2.635836362838745
,156,4552,,,2.6223630905151367
,157,4581,,,2.631484031677246
,158,4610,,,2.6435019969940186
2.6291587352752686,159,4639,,,
,159,4639,-0.1780279278755188,1.3806530237197876,2.6755268573760986
,160,4668,,,2.603257179260254
,161,4697,,,2.64486026763916
,162,4726,,,2.641395092010498
,163,4755,,,2.6347274780273438
,164,4784,,,2.650895595550537
,165,4813,,,2.597475528717041
,166,4842,,,2.6529154777526855
,167,4871,,,2.625114679336548
,168,4900,,,2.671039342880249
2.627734661102295,169,4929,,,
,169,4929,-0.17834968864917755,1.3689076900482178,2.6462314128875732
,170,4958,,,2.621471405029297
,171,4987,,,2.624849557876587
,172,5016,,,2.62863826751709
,173,5045,,,2.6214406490325928
,174,5074,,,2.648655652999878
,175,5103,,,2.652989387512207
,176,5132,,,2.6368021965026855
,177,5161,,,2.6367909908294678
,178,5190,,,2.6422781944274902
2.6243932247161865,179,5219,,,
,179,5219,-0.1794201284646988,1.3847172260284424,2.6481683254241943
,180,5248,,,2.636986494064331
,181,5277,,,2.6210291385650635
,182,5306,,,2.620819330215454
,183,5335,,,2.6387453079223633
,184,5364,,,2.629338502883911
,185,5393,,,2.6229708194732666
,186,5422,,,2.5967447757720947
,187,5451,,,2.6145966053009033
,188,5480,,,2.6241846084594727
2.6246185302734375,189,5509,,,
,189,5509,-0.18007895350456238,1.374153971672058,2.620976686477661
,190,5538,,,2.631568193435669
,191,5567,,,2.6356189250946045
,192,5596,,,2.6440980434417725
,193,5625,,,2.6438615322113037
,194,5654,,,2.640415668487549
,195,5683,,,2.6344428062438965
,196,5712,,,2.631577253341675
,197,5741,,,2.6574153900146484
,198,5770,,,2.6633870601654053
2.623199939727783,199,5799,,,
,199,5799,-0.17936426401138306,1.3657937049865723,2.653945207595825
,200,5828,,,2.6432104110717773
,201,5857,,,2.6371450424194336
,202,5886,,,2.6251509189605713
,203,5915,,,2.6177501678466797
,204,5944,,,2.6245315074920654
,205,5973,,,2.635535478591919
,206,6002,,,2.638192653656006
,207,6031,,,2.6017024517059326
,208,6060,,,2.6583967208862305
2.6199440956115723,209,6089,,,
