val_loss,epoch,step,normalization/loc,normalization/scale,fitting_loss
3.699887275695801,0,0,,,
,0,71,-0.174474835395813,1.3670538663864136,2.8400790691375732
,1,143,,,2.714498281478882
,2,215,,,2.724891424179077
,3,287,,,2.6771934032440186
,4,359,,,2.6956896781921387
,5,431,,,2.687554359436035
,6,503,,,2.729576349258423
,7,575,,,2.6696882247924805
,8,647,,,2.671748638153076
2.6678380966186523,9,719,,,
,9,719,-0.17464105784893036,1.3828285932540894,2.666727304458618
,10,791,,,2.6984751224517822
,11,863,,,2.652641534805298
,12,935,,,2.673780679702759
,13,1007,,,2.6803221702575684
,14,1079,,,2.687131881713867
,15,1151,,,2.639176845550537
,16,1223,,,2.6959965229034424
,17,1295,,,2.6899611949920654
,18,1367,,,2.692552328109741
2.657252311706543,19,1439,,,
,19,1439,-0.18144263327121735,1.394539475440979,2.7023890018463135
,20,1511,,,2.645904541015625
,21,1583,,,2.6788768768310547
,22,1655,,,2.66035795211792
,23,1727,,,2.6279714107513428
,24,1799,,,2.674190044403076
,25,1871,,,2.6399335861206055
,26,1943,,,2.6544713973999023
,27,2015,,,2.6949427127838135
,28,2087,,,2.672527551651001
2.649930953979492,29,2159,,,
,29,2159,-0.17901839315891266,1.3861454725265503,2.624114513397217
,30,2231,,,2.647797107696533
,31,2303,,,2.6347992420196533
,32,2375,,,2.6601336002349854
,33,2447,,,2.6576731204986572
,34,2519,,,2.6330411434173584
,35,2591,,,2.622305154800415
,36,2663,,,2.6909890174865723
,37,2735,,,2.674008846282959
,38,2807,,,2.652247190475464
2.6432549953460693,39,2879,,,
,39,2879,-0.1838494837284088,1.376076579093933,2.656083106994629
,40,2951,,,2.628908157348633
,41,3023,,,2.6483964920043945
,42,3095,,,2.6576032638549805
,43,3167,,,2.6574935913085938
,44,3239,,,2.650296211242676
,45,3311,,,2.599391222000122
,46,3383,,,2.621763229370117
,47,3455,,,2.6492340564727783
,48,3527,,,2.6246628761291504
2.6391305923461914,49,3599,,,
,49,3599,-0.18722708523273468,1.377893090248108,2.6640756130218506
,50,3671,,,2.672772169113159
,51,3743,,,2.6400389671325684
,52,3815,,,2.641813278198242
,53,3887,,,2.6345386505126953
,54,3959,,,2.637568473815918
,55,4031,,,2.6314685344696045
,56,4103,,,2.6617212295532227
,57,4175,,,2.684028148651123
,58,4247,,,2.666682004928589
2.6378984451293945,59,4319,,,
,59,4319,-0.17889505624771118,1.3816214799880981,2.665621280670166
,60,4391,,,2.6100873947143555
,61,4463,,,2.631963014602661
,62,4535,,,2.6300806999206543
,63,4607,,,2.656266927719116
,64,4679,,,2.632598638534546
,65,4751,,,2.6269490718841553
,66,4823,,,2.653730630874634
,67,4895,,,2.650364875793457
,68,4967,,,2.663400411605835
2.6374471187591553,69,5039,,,
,69,5039,-0.17979736626148224,1.375131368637085,2.6762173175811768
,70,5111,,,2.629007339477539
,71,5183,,,2.6059489250183105
,72,5255,,,2.645369052886963
,73,5327,,,2.624424934387207
,74,5399,,,2.638903856277466
,75,5471,,,2.671684503555298
,76,5543,,,2.6679277420043945
,77,5615,,,2.6189539432525635
,78,5687,,,2.651686906814575
2.6324801445007324,79,5759,,,
,79,5759,-0.17986835539340973,1.3827662467956543,2.6353156566619873
,80,5831,,,2.6397311687469482
,81,5903,,,2.644984006881714
,82,5975,,,2.6097917556762695
,83,6047,,,2.651930570602417
,84,6119,,,2.6414692401885986
,85,6191,,,2.6654860973358154
,86,6263,,,2.636334180831909
,87,6335,,,2.655038595199585
,88,6407,,,2.657871723175049
2.630864381790161,89,6479,,,
,89,6479,-0.1815473437309265,1.3641014099121094,2.6718101501464844
,90,6551,,,2.654752492904663
,91,6623,,,2.6645679473876953
,92,6695,,,2.6425881385803223
,93,6767,,,2.630422830581665
,94,6839,,,2.683051586151123
,95,6911,,,2.6463663578033447
,96,6983,,,2.609063148498535
,97,7055,,,2.6403350830078125
,98,7127,,,2.647135019302368
2.6297993659973145,99,7199,,,
,99,7199,-0.17889833450317383,1.3801946640014648,2.616382360458374
,100,7271,,,2.6276183128356934
,101,7343,,,2.6113617420196533
,102,7415,,,2.6483819484710693
,103,7487,,,2.637416362762451
,104,7559,,,2.6448724269866943
,105,7631,,,2.646104574203491
,106,7703,,,2.659182548522949
,107,7775,,,2.6395578384399414
,108,7847,,,2.6237668991088867
2.628037929534912,109,7919,,,
,109,7919,-0.17754024267196655,1.3738086223602295,2.6070756912231445
,110,7991,,,2.648709774017334
,111,8063,,,2.6394076347351074
,112,8135,,,2.6661620140075684
,113,8207,,,2.6513757705688477
,114,8279,,,2.643559455871582
,115,8351,,,2.6218724250793457
,116,8423,,,2.644374132156372
,117,8495,,,2.6209373474121094
,118,8567,,,2.6530659198760986
2.627472400665283,119,8639,,,
,119,8639,-0.179595947265625,1.3743680715560913,2.6305482387542725
,120,8711,,,2.656783103942871
,121,8783,,,2.6528267860412598
,122,8855,,,2.603574275970459
,123,8927,,,2.584608316421509
,124,8999,,,2.6097536087036133
,125,9071,,,2.6515750885009766
,126,9143,,,2.65693998336792
,127,9215,,,2.615363121032715
,128,9287,,,2.626124858856201
2.62888503074646,129,9359,,,
,129,9359,-0.18201547861099243,1.382578730583191,2.634322166442871
,130,9431,,,2.6425137519836426
,131,9503,,,2.658524513244629
,132,9575,,,2.6448028087615967
,133,9647,,,2.631526231765747
,134,9719,,,2.6233720779418945
,135,9791,,,2.672081232070923
,136,9863,,,2.6275577545166016
,137,9935,,,2.612455368041992
,138,10007,,,2.6301305294036865
2.624143362045288,139,10079,,,
,139,10079,-0.17935620248317719,1.3655047416687012,2.650128126144409
,140,10151,,,2.5868217945098877
,141,10223,,,2.6313982009887695
,142,10295,,,2.6097893714904785
,143,10367,,,2.609673500061035
,144,10439,,,2.6390256881713867
,145,10511,,,2.6406774520874023
,146,10583,,,2.597623109817505
,147,10655,,,2.6622438430786133
,148,10727,,,2.661649465560913
2.6225414276123047,149,10799,,,
