experiment,trained_mw_angle,inferred_mw_angle,condition,frequency_normalized,fsc
subexp01_inference_angle,50,30,infer_30,0.004807692307692308,1.0
subexp01_inference_angle,50,30,infer_30,0.014423076923076924,0.9999198697771234
subexp01_inference_angle,50,30,infer_30,0.02403846153846154,0.9995546278236851
subexp01_inference_angle,50,30,infer_30,0.03365384615384615,0.9973261096281653
subexp01_inference_angle,50,30,infer_30,0.04326923076923077,0.9959237559442432
subexp01_inference_angle,50,30,infer_30,0.052884615384615384,0.9902006529050742
subexp01_inference_angle,50,30,infer_30,0.0625,0.9858665294664436
subexp01_inference_angle,50,30,infer_30,0.07211538461538461,0.9795188474138783
subexp01_inference_angle,50,30,infer_30,0.08173076923076923,0.9782172402726863
subexp01_inference_angle,50,30,infer_30,0.09134615384615384,0.9729655163280743
subexp01_inference_angle,50,30,infer_30,0.10096153846153846,0.9749879687353606
subexp01_inference_angle,50,30,infer_30,0.11057692307692307,0.9653167797128241
subexp01_inference_angle,50,30,infer_30,0.1201923076923077,0.9595938613719988
subexp01_inference_angle,50,30,infer_30,0.12980769230769232,0.957580832597352
subexp01_inference_angle,50,30,infer_30,0.13942307692307693,0.9548828761447236
subexp01_inference_angle,50,30,infer_30,0.14903846153846154,0.9487733632995196
subexp01_inference_angle,50,30,infer_30,0.15865384615384615,0.9383286145907361
subexp01_inference_angle,50,30,infer_30,0.16826923076923078,0.9457492426348788
subexp01_inference_angle,50,30,infer_30,0.1778846153846154,0.9388326025390352
subexp01_inference_angle,50,30,infer_30,0.1875,0.9426039166301602
subexp01_inference_angle,50,30,infer_30,0.1971153846153846,0.9444354239990859
subexp01_inference_angle,50,30,infer_30,0.20673076923076922,0.939951954020631
subexp01_inference_angle,50,30,infer_30,0.21634615384615385,0.9438444345425214
subexp01_inference_angle,50,30,infer_30,0.22596153846153846,0.9342648962318109
subexp01_inference_angle,50,30,infer_30,0.23557692307692307,0.9341640989235498
subexp01_inference_angle,50,30,infer_30,0.24519230769230768,0.9394933597014236
subexp01_inference_angle,50,30,infer_30,0.2548076923076923,0.9360046190216824
subexp01_inference_angle,50,30,infer_30,0.2644230769230769,0.9385249743300678
subexp01_inference_angle,50,30,infer_30,0.27403846153846156,0.9308921639536307
subexp01_inference_angle,50,30,infer_30,0.28365384615384615,0.9339185181526676
subexp01_inference_angle,50,30,infer_30,0.2932692307692308,0.9225307346413225
subexp01_inference_angle,50,30,infer_30,0.30288461538461536,0.9325125110229616
subexp01_inference_angle,50,30,infer_30,0.3125,0.9219020378738978
subexp01_inference_angle,50,30,infer_30,0.32211538461538464,0.9208919789347537
subexp01_inference_angle,50,30,infer_30,0.3317307692307692,0.9273834499358983
subexp01_inference_angle,50,30,infer_30,0.34134615384615385,0.9180138381207533
subexp01_inference_angle,50,30,infer_30,0.35096153846153844,0.9302110086630179
subexp01_inference_angle,50,30,infer_30,0.3605769230769231,0.9365121483888915
subexp01_inference_angle,50,30,infer_30,0.3701923076923077,0.9243215082951608
subexp01_inference_angle,50,30,infer_30,0.3798076923076923,0.9322095164915737
subexp01_inference_angle,50,30,infer_30,0.3894230769230769,0.9343051777746888
subexp01_inference_angle,50,30,infer_30,0.39903846153846156,0.9244069857485862
subexp01_inference_angle,50,30,infer_30,0.40865384615384615,0.9155632833457575
subexp01_inference_angle,50,30,infer_30,0.4182692307692308,0.9140773116812689
subexp01_inference_angle,50,30,infer_30,0.42788461538461536,0.908262607850661
subexp01_inference_angle,50,30,infer_30,0.4375,0.9027835619589988
subexp01_inference_angle,50,30,infer_30,0.44711538461538464,0.9157009101347158
subexp01_inference_angle,50,30,infer_30,0.4567307692307692,0.9165632716144809
subexp01_inference_angle,50,30,infer_30,0.46634615384615385,0.9069394409018435
subexp01_inference_angle,50,30,infer_30,0.47596153846153844,0.916786541588656
subexp01_inference_angle,50,30,infer_30,0.4855769230769231,0.9141374994397605
subexp01_inference_angle,50,30,infer_30,0.4951923076923077,0.9002747855869148
subexp01_inference_angle,50,30,infer_30,0.5048076923076923,0.8926954158740644
subexp01_inference_angle,50,30,infer_30,0.5144230769230769,0.8895983040371592
subexp01_inference_angle,50,30,infer_30,0.5240384615384616,0.8701224147103643
subexp01_inference_angle,50,30,infer_30,0.5336538461538461,0.854713617055261
subexp01_inference_angle,50,30,infer_30,0.5432692307692307,0.8526569893686257
subexp01_inference_angle,50,30,infer_30,0.5528846153846154,0.8464498658388824
subexp01_inference_angle,50,30,infer_30,0.5625,0.8406839517756567
subexp01_inference_angle,50,30,infer_30,0.5721153846153846,0.8427003414098726
subexp01_inference_angle,50,30,infer_30,0.5817307692307693,0.830354380124621
subexp01_inference_angle,50,30,infer_30,0.5913461538461539,0.8344613248974746
subexp01_inference_angle,50,30,infer_30,0.6009615384615384,0.8547164824254859
subexp01_inference_angle,50,30,infer_30,0.6105769230769231,0.8545006531505905
